farmer_id,lat,lon,date,field_area_ha,biomass_label
FARMER_0061,32.220044,76.692555,2024-10-01,1.81,0.704
FARMER_0062,29.553971,73.899625,2024-10-18,6.17,2.175
FARMER_0063,32.03563,77.224518,2024-11-22,1.13,2.404
FARMER_0064,31.968037,75.839609,2024-10-12,2.42,0.1
FARMER_0065,30.991611,76.129466,2024-11-26,2.66,0.1
FARMER_0066,30.201179,76.380952,2024-10-21,4.43,0.422
FARMER_0067,31.933714,76.737436,2024-10-21,2.32,1.205
FARMER_0068,30.695872,76.372085,2024-11-02,3.21,1.395
FARMER_0069,31.666987,77.290171,2024-11-15,4.59,3.23
FARMER_0070,31.408154,76.274024,2024-11-07,6.71,3.597
FARMER_0071,29.540362,74.198046,2024-10-16,7.71,2.401
FARMER_0072,31.478838,74.025463,2024-10-18,6.23,2.443
FARMER_0073,31.632494,74.243476,2024-10-04,7.23,3.474
FARMER_0074,32.234999,75.435771,2024-10-09,5.52,1.86
FARMER_0075,30.069728,77.438846,2024-10-07,1.03,2.066
FARMER_0076,29.65169,74.215928,2024-10-04,6.48,3.36
FARMER_0077,31.306019,75.845523,2024-10-21,3.26,2.995
FARMER_0078,30.469298,76.175667,2024-10-22,1.11,0.1
FARMER_0079,30.940571,76.507226,2024-11-25,3.79,1.351
FARMER_0080,29.528769,75.511921,2024-11-05,5.85,2.789
FARMER_0081,32.431768,75.874348,2024-11-18,7.78,2.005
FARMER_0082,30.153397,75.691679,2024-11-21,3.44,0.1
FARMER_0083,30.376848,75.862695,2024-10-12,2.31,2.892
FARMER_0084,29.551074,75.999853,2024-10-20,1.76,1.441
FARMER_0085,31.277185,74.94664,2024-11-08,6.11,2.636
FARMER_0086,30.142381,76.618876,2024-11-07,7.0,2.537
FARMER_0087,32.058604,74.771419,2024-11-03,4.6,0.93
FARMER_0088,30.200009,76.144793,2024-11-21,4.7,3.015
FARMER_0089,30.702304,75.291781,2024-10-04,2.43,3.068
FARMER_0090,32.294659,74.337707,2024-11-08,7.43,2.481
FARMER_0091,30.554873,75.032178,2024-11-11,4.99,1.703
FARMER_0092,30.193331,74.863309,2024-11-22,6.67,0.432
FARMER_0093,30.518551,75.486393,2024-10-16,7.2,2.39
FARMER_0094,32.419937,76.72948,2024-11-03,7.62,1.361
FARMER_0095,31.220095,76.183502,2024-10-07,7.42,2.868
FARMER_0096,30.918325,76.061421,2024-10-06,4.33,1.211
FARMER_0097,31.905845,77.39914,2024-10-23,7.62,2.896
FARMER_0098,29.666353,76.702151,2024-11-26,5.71,0.344
FARMER_0099,30.070379,75.446601,2024-10-01,7.92,0.1
FARMER_0100,29.851192,75.499829,2024-10-09,5.39,2.968
FARMER_0101,32.016542,74.149008,2024-11-18,4.95,2.476
FARMER_0102,31.496222,73.884415,2024-11-14,5.93,0.1
FARMER_0103,30.901854,77.34354,2024-10-09,5.67,3.62
FARMER_0104,31.135176,74.1684,2024-11-17,3.47,2.256
FARMER_0105,30.268397,74.391953,2024-11-03,5.26,2.415
FARMER_0106,30.386083,77.482009,2024-11-27,1.07,1.929
FARMER_0107,30.004747,75.202026,2024-10-16,4.3,0.1
FARMER_0108,30.596125,76.597225,2024-11-04,7.35,2.221
FARMER_0109,29.981,77.449949,2024-10-14,6.58,2.626
FARMER_0110,31.651821,77.269994,2024-11-14,5.37,3.299
FARMER_0111,30.741253,76.28679,2024-11-15,4.99,0.1
FARMER_0112,29.692699,76.387202,2024-10-23,1.79,0.272
FARMER_0113,30.067972,76.089827,2024-11-02,7.62,3.127
FARMER_0114,31.113953,76.921277,2024-11-25,6.41,1.259
FARMER_0115,31.061532,74.653105,2024-10-16,5.85,2.798
FARMER_0116,31.524241,74.941,2024-11-14,1.44,0.1
FARMER_0117,31.526145,74.635899,2024-10-01,4.78,1.166
FARMER_0118,29.953644,77.171216,2024-11-22,4.51,3.053
FARMER_0119,30.705916,75.098733,2024-10-10,1.95,0.577
FARMER_0120,31.261052,77.275367,2024-10-11,7.98,0.647
FARMER_0121,31.256959,77.086772,2024-11-17,2.94,1.558
FARMER_0122,29.882307,76.336105,2024-10-06,1.08,0.1
FARMER_0123,30.733475,74.662179,2024-11-01,4.59,3.351
FARMER_0124,31.399901,75.367414,2024-11-14,5.31,3.233
FARMER_0125,30.380247,74.349027,2024-11-07,4.65,0.1
FARMER_0126,30.895931,77.310317,2024-11-16,6.88,3.509
FARMER_0127,32.400608,74.118393,2024-11-04,2.08,2.167
FARMER_0128,29.506294,75.784366,2024-10-17,2.82,3.297
FARMER_0129,30.838998,75.497328,2024-11-14,2.12,1.075
FARMER_0130,29.880149,74.246205,2024-10-26,3.6,1.869
FARMER_0131,31.019361,75.887763,2024-10-26,7.7,2.818
FARMER_0132,31.596201,77.00805,2024-10-08,7.65,0.215
FARMER_0133,31.473724,77.094626,2024-10-25,5.15,2.202
FARMER_0134,32.166889,74.639578,2024-10-05,6.27,2.192
FARMER_0135,30.010481,75.227032,2024-10-09,2.19,1.505
FARMER_0136,30.741115,76.142149,2024-10-01,4.98,0.1
FARMER_0137,30.185754,75.804854,2024-10-10,5.89,2.742
FARMER_0138,31.408376,73.896669,2024-11-15,5.09,0.449
FARMER_0139,31.258739,75.867795,2024-11-05,4.79,1.699
FARMER_0140,30.299449,74.261005,2024-10-05,4.87,0.551
FARMER_0141,30.426315,75.689443,2024-11-21,1.58,0.398
FARMER_0142,29.871772,74.728685,2024-10-23,5.29,3.54
FARMER_0143,31.57426,75.229659,2024-11-19,6.74,0.1
FARMER_0144,32.4478,77.105564,2024-10-11,5.51,0.945
FARMER_0145,31.387717,76.610743,2024-11-07,5.19,3.042
FARMER_0146,30.22534,76.46317,2024-10-13,1.44,1.67
FARMER_0147,29.717931,75.933334,2024-11-05,1.13,3.684
FARMER_0148,30.753993,77.120113,2024-11-01,2.08,2.88
FARMER_0149,31.847326,73.972798,2024-10-02,1.99,0.381
FARMER_0150,29.798458,76.102029,2024-11-10,7.98,0.1
FARMER_0151,31.92983,75.590475,2024-10-05,6.16,3.114
FARMER_0152,29.687067,75.119133,2024-11-22,2.0,1.819
FARMER_0153,32.203062,76.921707,2024-11-11,7.31,2.577
FARMER_0154,31.480676,75.465811,2024-11-19,3.51,3.117
FARMER_0155,31.255205,75.952273,2024-10-27,1.65,3.616
FARMER_0156,30.095647,77.074895,2024-10-12,1.93,1.234
FARMER_0157,31.947345,74.044098,2024-11-06,3.9,3.565
FARMER_0158,30.189639,74.037862,2024-11-09,2.07,0.828
FARMER_0159,31.089172,76.784257,2024-11-04,7.57,1.542
FARMER_0160,29.910034,76.042784,2024-10-10,2.63,3.559
FARMER_0161,29.528931,77.027567,2024-10-09,1.65,0.1
FARMER_0162,31.7323,75.758103,2024-11-13,6.47,3.513
FARMER_0163,30.511878,75.253503,2024-10-03,6.71,0.1
FARMER_0164,31.714471,76.827956,2024-11-08,2.2,2.626
FARMER_0165,31.776443,76.381543,2024-10-06,6.72,1.481
FARMER_0166,31.896352,76.73986,2024-11-08,1.46,2.67
FARMER_0167,30.263936,74.780134,2024-10-01,1.02,3.156
FARMER_0168,32.389017,75.586219,2024-11-01,6.25,1.379
FARMER_0169,29.812492,74.431849,2024-11-12,2.19,0.591
FARMER_0170,29.584772,74.230792,2024-10-24,6.83,2.89
FARMER_0171,31.427738,75.574431,2024-10-16,5.76,2.493
FARMER_0172,30.716143,74.443225,2024-10-03,4.47,2.272
FARMER_0173,32.021399,76.791836,2024-11-02,7.35,1.889
FARMER_0174,32.307095,75.552433,2024-10-04,7.35,2.562
FARMER_0175,32.074842,74.392086,2024-10-22,5.08,0.1
FARMER_0176,31.46213,75.295262,2024-10-10,3.35,0.1
FARMER_0177,29.697383,75.534295,2024-10-01,2.51,2.362
FARMER_0178,31.27518,74.646583,2024-10-02,2.97,1.796
FARMER_0179,30.680484,75.760964,2024-10-04,1.99,2.757
FARMER_0180,29.924213,74.944409,2024-11-05,7.64,0.423
FARMER_0181,31.729575,76.616324,2024-10-26,6.21,2.517
FARMER_0182,29.704954,76.185204,2024-11-05,5.45,0.862
FARMER_0183,30.078474,75.106864,2024-11-11,5.64,3.532
FARMER_0184,31.430888,75.595046,2024-10-25,1.96,2.748
FARMER_0185,31.102578,73.996064,2024-10-03,5.71,0.559
FARMER_0186,29.766367,74.596089,2024-10-07,4.54,2.91
FARMER_0187,29.743661,75.395377,2024-10-08,7.06,1.748
FARMER_0188,31.399065,75.808055,2024-11-10,6.75,0.959
FARMER_0189,31.366021,76.549874,2024-11-11,3.75,3.249
FARMER_0190,30.077397,76.117502,2024-10-17,3.74,0.1
FARMER_0191,30.288294,75.510959,2024-10-02,5.71,0.507
FARMER_0192,29.738652,75.582646,2024-11-18,7.9,2.303
FARMER_0193,31.670088,77.202401,2024-10-23,7.57,3.194
FARMER_0194,31.104574,75.197842,2024-11-23,2.72,0.501
FARMER_0195,29.671525,74.468537,2024-10-11,3.68,3.09
FARMER_0196,32.488673,75.394545,2024-10-19,1.31,3.449
FARMER_0197,31.618691,77.266161,2024-10-25,6.69,0.902
FARMER_0198,31.359656,74.383973,2024-10-07,4.76,2.48
FARMER_0199,31.144955,75.56451,2024-11-17,3.9,1.104
FARMER_0200,30.686538,77.111784,2024-11-08,7.0,3.679
FARMER_0201,32.109617,76.005795,2024-10-14,3.76,0.857
FARMER_0202,29.622386,73.818504,2024-10-15,2.48,0.372
FARMER_0203,32.146765,76.292488,2024-11-22,1.1,0.1
FARMER_0204,29.875335,75.30099,2024-11-17,6.4,2.655
FARMER_0205,31.78664,74.699278,2024-10-23,2.76,0.825
FARMER_0206,30.207131,75.37321,2024-11-02,6.82,0.205
FARMER_0207,30.839853,75.758695,2024-10-27,1.79,0.864
FARMER_0208,31.787621,76.693492,2024-11-01,6.44,1.553
FARMER_0209,29.507909,74.757365,2024-10-17,6.56,2.321
FARMER_0210,30.790369,75.140827,2024-10-07,3.05,2.595
FARMER_0211,29.806307,77.381277,2024-10-13,7.27,1.188
FARMER_0212,30.991733,77.034763,2024-11-24,2.44,0.798
FARMER_0213,32.494113,77.322745,2024-10-11,4.64,2.731
FARMER_0214,30.096064,73.976922,2024-11-18,2.27,2.352
FARMER_0215,29.714903,76.603526,2024-11-15,7.98,0.584
FARMER_0216,31.965712,76.608811,2024-11-22,3.07,3.28
FARMER_0217,32.309672,74.045549,2024-10-27,3.83,1.962
FARMER_0218,29.612064,76.73438,2024-10-02,6.05,2.753
FARMER_0219,29.999294,74.250718,2024-11-12,3.02,3.164
FARMER_0220,29.709201,75.283813,2024-10-12,1.08,0.1
FARMER_0221,29.703604,74.491082,2024-10-03,1.87,2.149
FARMER_0222,30.340234,76.838025,2024-11-05,5.19,2.162
FARMER_0223,31.389541,74.710233,2024-10-05,3.28,2.593
FARMER_0224,32.389056,76.76902,2024-11-15,4.07,0.297
FARMER_0225,30.445027,75.684271,2024-10-11,7.32,2.46
FARMER_0226,32.080908,74.932251,2024-10-19,6.7,2.804
FARMER_0227,30.416643,75.317644,2024-11-03,2.33,3.148
FARMER_0228,29.536986,75.929324,2024-10-21,4.67,1.593
FARMER_0229,30.525907,75.361323,2024-10-06,4.27,2.589
FARMER_0230,29.536519,75.928,2024-11-15,5.27,3.219
FARMER_0231,31.070591,74.866304,2024-11-02,5.8,2.633
FARMER_0232,32.191082,73.836879,2024-11-26,7.46,0.304
FARMER_0233,31.860907,76.567964,2024-10-18,5.72,2.309
FARMER_0234,30.776973,76.064825,2024-11-06,6.83,1.169
FARMER_0235,30.874104,76.135288,2024-11-10,7.2,2.623
FARMER_0236,32.368352,77.481029,2024-10-04,7.27,0.1
FARMER_0237,29.799411,75.118184,2024-11-12,5.88,2.686
FARMER_0238,31.476037,76.285602,2024-11-19,5.87,2.705
FARMER_0239,32.027678,74.777496,2024-10-24,5.04,1.726
FARMER_0240,31.803447,74.144018,2024-10-05,5.34,0.1
FARMER_0241,31.163576,75.261211,2024-10-05,3.87,0.1
FARMER_0242,32.36287,76.1853,2024-10-22,3.36,0.627
FARMER_0243,31.760315,76.251678,2024-10-02,2.41,0.1
FARMER_0244,31.704731,76.947429,2024-11-09,2.6,1.193
FARMER_0245,32.222902,75.270666,2024-11-21,5.47,0.1
FARMER_0246,31.231421,76.111705,2024-10-20,6.67,1.504
FARMER_0247,31.118172,74.582669,2024-10-03,6.84,3.049
FARMER_0248,29.504242,75.768153,2024-10-25,1.17,3.479
FARMER_0249,29.857875,76.844231,2024-10-03,4.4,3.216
FARMER_0250,29.516017,74.192589,2024-10-03,7.32,2.234
FARMER_0251,30.834404,76.098316,2024-11-25,1.07,0.1
FARMER_0252,30.762348,74.092547,2024-10-24,6.14,0.251
FARMER_0253,30.245434,75.663735,2024-11-08,7.53,2.781
FARMER_0254,30.324756,75.417506,2024-10-13,7.71,2.556
FARMER_0255,30.075019,74.336633,2024-10-18,4.81,0.1
FARMER_0256,30.96252,76.837601,2024-10-01,7.92,2.817
FARMER_0257,29.822296,74.606204,2024-10-27,1.46,0.362
FARMER_0258,30.519846,73.912054,2024-11-02,3.85,0.1
FARMER_0259,30.141974,74.623686,2024-10-20,5.18,3.016
FARMER_0260,29.598519,77.182019,2024-10-15,2.73,0.936
FARMER_0261,32.21183,75.463459,2024-10-15,6.95,3.482
FARMER_0262,31.913826,75.354132,2024-11-27,7.85,0.1
FARMER_0263,30.714622,76.920928,2024-10-24,5.59,1.627
FARMER_0264,31.86309,77.402377,2024-10-24,6.32,1.01
FARMER_0265,30.458196,75.867455,2024-10-27,4.99,2.253
FARMER_0266,29.965549,76.230855,2024-11-21,1.13,2.811
FARMER_0267,32.333806,76.153729,2024-11-18,1.43,3.157
FARMER_0268,30.197602,77.428739,2024-11-21,6.78,0.25
FARMER_0269,31.696714,76.27995,2024-11-22,2.49,2.848
FARMER_0270,30.715052,77.169608,2024-10-02,5.82,2.91
FARMER_0271,30.017943,77.021613,2024-11-24,1.68,2.016
FARMER_0272,30.372875,76.901078,2024-11-15,5.53,1.392
FARMER_0273,31.893365,73.895413,2024-11-09,6.34,1.903
FARMER_0274,30.998761,76.62253,2024-10-01,6.57,3.131
FARMER_0275,29.763261,77.252836,2024-11-04,6.16,1.931
FARMER_0276,31.068225,74.131722,2024-10-08,4.24,1.961
FARMER_0277,29.532842,74.08519,2024-11-14,7.77,2.216
FARMER_0278,30.074517,74.153165,2024-11-26,1.34,2.171
FARMER_0279,32.046407,75.456773,2024-10-24,2.96,0.1
FARMER_0280,30.765619,75.403184,2024-11-24,2.05,1.269
FARMER_0281,31.330644,74.16481,2024-10-18,3.3,1.601
FARMER_0282,31.797824,75.673297,2024-11-08,4.98,1.756
FARMER_0283,31.370188,75.144494,2024-11-22,7.36,1.194
FARMER_0284,32.19715,77.098936,2024-10-23,1.54,2.404
FARMER_0285,32.469353,76.439219,2024-10-23,4.63,2.75
FARMER_0286,31.314029,75.156607,2024-11-17,3.11,0.625
FARMER_0287,29.876832,74.011705,2024-11-19,7.04,1.233
FARMER_0288,30.882962,76.149271,2024-10-05,6.33,0.54
FARMER_0289,30.470404,75.827763,2024-10-12,4.72,2.105
FARMER_0290,32.029531,74.44026,2024-10-05,7.84,0.1
FARMER_0291,30.98525,74.720933,2024-10-01,2.91,1.712
FARMER_0292,29.573812,76.268383,2024-10-21,3.35,0.446
FARMER_0293,30.93374,76.203077,2024-11-16,7.27,2.193
FARMER_0294,31.365933,74.662925,2024-11-08,2.76,3.047
FARMER_0295,31.723062,75.916209,2024-11-25,2.96,1.177
FARMER_0296,31.432935,75.059922,2024-10-10,5.54,0.737
FARMER_0297,30.12075,75.785135,2024-10-16,6.76,0.1
FARMER_0298,30.810693,75.455727,2024-10-09,3.59,0.562
FARMER_0299,30.182998,74.252752,2024-10-12,7.84,1.352
FARMER_0300,31.425717,76.122033,2024-11-18,6.27,0.1
FARMER_0301,31.093141,74.564183,2024-10-15,4.92,0.1
FARMER_0302,32.436535,75.152012,2024-10-20,2.35,1.032
FARMER_0303,29.786307,75.766054,2024-10-18,7.5,2.557
FARMER_0304,30.162836,75.452674,2024-11-26,4.06,2.381
FARMER_0305,32.483894,77.328712,2024-10-01,4.87,1.375
FARMER_0306,32.146024,76.51899,2024-10-17,1.92,0.1
FARMER_0307,31.124605,74.162327,2024-11-24,1.04,1.38
FARMER_0308,29.802237,75.733024,2024-10-25,4.44,0.401
FARMER_0309,29.835652,74.321333,2024-11-26,2.04,0.1
FARMER_0310,30.280142,77.37081,2024-10-07,1.35,0.1
FARMER_0311,30.877028,74.669401,2024-11-09,6.8,1.179
FARMER_0312,31.476386,76.550693,2024-11-10,1.12,2.874
FARMER_0313,30.751829,75.582515,2024-10-26,6.65,3.067
FARMER_0314,30.585166,75.036741,2024-10-22,6.69,3.305
FARMER_0315,30.555237,77.435334,2024-11-22,6.69,2.005
FARMER_0316,29.78957,75.546396,2024-10-15,7.94,1.232
FARMER_0317,31.792591,77.428472,2024-11-20,6.81,3.34
FARMER_0318,31.852771,76.287804,2024-10-17,6.35,1.101
FARMER_0319,32.360989,75.18423,2024-11-26,3.39,2.349
FARMER_0320,31.950169,76.87191,2024-10-10,6.5,1.84
FARMER_0321,31.575227,76.115511,2024-10-19,1.44,1.407
FARMER_0322,30.097923,74.513544,2024-10-02,3.07,0.869
FARMER_0323,32.44104,75.185396,2024-11-08,3.01,2.612
FARMER_0324,29.62269,76.535438,2024-10-15,4.08,2.534
FARMER_0325,31.651211,75.606816,2024-11-01,4.46,0.712
FARMER_0326,30.822426,74.934658,2024-10-01,7.67,2.2
FARMER_0327,31.077927,75.182158,2024-10-24,6.14,2.186
FARMER_0328,30.307029,74.22199,2024-11-27,3.53,1.761
FARMER_0329,30.3033,75.155954,2024-10-05,5.29,0.1
FARMER_0330,32.228425,74.093509,2024-11-09,4.45,0.642
FARMER_0331,31.274946,76.375497,2024-11-23,4.1,2.245
FARMER_0332,29.960063,75.120248,2024-10-02,2.12,0.1
FARMER_0333,31.115514,76.993722,2024-10-05,3.4,3.278
FARMER_0334,30.280333,73.997384,2024-10-07,2.92,2.142
FARMER_0335,30.690774,74.365787,2024-11-09,5.08,0.711
FARMER_0336,31.23803,77.061641,2024-10-09,1.06,1.004
FARMER_0337,32.250621,76.095199,2024-11-03,4.68,2.588
FARMER_0338,29.67981,76.460584,2024-10-02,7.93,1.235
FARMER_0339,31.780584,76.864204,2024-10-27,7.04,2.15
FARMER_0340,30.722323,74.357531,2024-10-23,4.92,2.971
FARMER_0341,29.746817,75.853195,2024-10-10,1.39,2.482
FARMER_0342,29.857161,77.416658,2024-11-24,7.57,1.872
FARMER_0343,31.723984,77.019241,2024-10-20,7.95,0.1
FARMER_0344,31.268803,76.011912,2024-10-14,1.64,2.49
FARMER_0345,30.429268,76.179629,2024-11-04,7.91,1.775
FARMER_0346,30.712626,74.67547,2024-11-01,1.56,0.871
FARMER_0347,29.662168,74.998138,2024-10-02,3.43,0.1
FARMER_0348,31.061399,74.792622,2024-10-11,5.67,3.095
FARMER_0349,29.550329,75.655909,2024-11-06,7.66,1.008
FARMER_0350,30.734853,76.929103,2024-10-03,5.7,0.172
FARMER_0351,30.779966,76.662371,2024-10-15,7.23,1.804
FARMER_0352,29.630611,76.152483,2024-10-20,6.77,1.336
FARMER_0353,31.501282,74.411695,2024-10-14,7.83,1.624
FARMER_0354,32.129394,75.143376,2024-10-15,7.87,0.625
FARMER_0355,31.908821,73.834863,2024-10-16,3.11,0.477
FARMER_0356,32.351218,76.101882,2024-10-15,5.89,1.625
FARMER_0357,29.937379,74.340121,2024-10-08,6.18,1.875
FARMER_0358,31.801892,73.953141,2024-10-25,3.87,2.943
FARMER_0359,31.900726,75.193041,2024-11-17,3.12,1.247
FARMER_0360,29.991642,75.649415,2024-10-12,6.57,0.1
FARMER_0361,31.425179,75.666545,2024-11-16,4.91,2.662
FARMER_0362,30.407722,76.449283,2024-11-25,4.62,2.312
FARMER_0363,30.795551,77.384802,2024-11-02,7.47,2.071
FARMER_0364,31.04709,73.976962,2024-11-22,2.64,1.857
FARMER_0365,32.368426,74.621498,2024-10-23,5.29,2.371
FARMER_0366,31.14053,77.182893,2024-10-12,5.62,2.281
FARMER_0367,30.597756,74.169528,2024-10-19,3.27,2.131
FARMER_0368,32.447853,75.584769,2024-10-05,5.51,1.923
FARMER_0369,32.289034,76.056475,2024-10-06,4.21,4.099
FARMER_0370,30.740238,75.94262,2024-11-12,3.32,1.194
FARMER_0371,29.83999,74.522023,2024-10-12,6.34,1.881
FARMER_0372,30.669704,73.816997,2024-11-13,7.24,1.939
FARMER_0373,31.800812,76.789954,2024-10-25,1.4,0.1
FARMER_0374,31.048616,74.345641,2024-10-12,2.98,3.556
FARMER_0375,31.753482,74.569208,2024-11-02,3.69,2.75
FARMER_0376,31.377162,73.861541,2024-11-01,3.72,1.693
FARMER_0377,29.743657,76.912564,2024-11-13,3.89,0.857
FARMER_0378,29.683151,75.58548,2024-11-01,2.39,0.488
FARMER_0379,29.711554,74.60468,2024-11-26,6.7,0.788
FARMER_0380,30.240885,74.191122,2024-10-09,5.2,0.1
FARMER_0381,30.311165,75.519248,2024-11-08,2.94,2.144
FARMER_0382,30.472129,73.82975,2024-11-06,7.01,2.954
FARMER_0383,29.767713,76.096912,2024-11-03,4.77,3.62
FARMER_0384,31.857941,75.856533,2024-10-24,3.68,0.85
FARMER_0385,31.26917,75.630793,2024-10-22,4.47,3.495
FARMER_0386,31.253197,75.686988,2024-10-13,6.1,3.544
FARMER_0387,29.709113,75.722383,2024-11-06,4.46,1.854
FARMER_0388,30.501249,74.20032,2024-11-16,5.04,1.299
FARMER_0389,30.991499,74.404335,2024-11-18,1.02,0.1
FARMER_0390,32.373577,74.714168,2024-10-24,6.04,3.314
FARMER_0391,31.353276,76.730764,2024-11-21,6.65,2.244
FARMER_0392,31.534699,76.503535,2024-10-09,2.04,0.1
FARMER_0393,32.380385,75.074001,2024-11-02,7.89,2.167
FARMER_0394,30.930596,73.883485,2024-10-16,6.12,3.033
FARMER_0395,30.419045,76.071431,2024-11-21,5.81,0.1
FARMER_0396,30.986625,74.643527,2024-11-07,2.23,2.22
FARMER_0397,30.031347,75.836438,2024-11-12,6.25,2.751
FARMER_0398,32.368399,75.80481,2024-11-20,5.07,2.545
FARMER_0399,30.728768,77.187565,2024-10-15,1.48,3.379
FARMER_0400,31.945595,74.10284,2024-11-07,1.9,1.155
FARMER_0401,30.669865,74.298009,2024-10-27,1.15,1.361
FARMER_0402,31.1722,76.260962,2024-11-23,2.72,0.1
FARMER_0403,31.516208,74.1578,2024-10-06,1.24,0.717
FARMER_0404,30.951498,77.156695,2024-10-21,3.29,0.363
FARMER_0405,30.452026,76.918864,2024-11-16,2.01,1.948
FARMER_0406,30.518604,74.020713,2024-11-12,4.16,3.453
FARMER_0407,30.289197,75.690505,2024-10-16,2.01,3.752
FARMER_0408,31.729758,76.907553,2024-10-12,3.96,2.524
FARMER_0409,31.63286,74.33051,2024-11-14,4.74,2.61
FARMER_0410,31.203016,76.144972,2024-11-26,7.0,1.267
FARMER_0411,29.655771,75.872019,2024-10-14,3.21,0.1
FARMER_0412,30.946666,77.40619,2024-10-24,4.29,0.662
FARMER_0413,32.231146,76.746973,2024-10-19,5.82,2.518
FARMER_0414,30.429408,75.053776,2024-11-27,4.4,3.206
FARMER_0415,32.366991,74.945661,2024-10-01,3.37,2.45
FARMER_0416,29.670843,74.592295,2024-11-04,1.84,1.012
FARMER_0417,31.107053,75.843069,2024-10-23,6.08,0.1
FARMER_0418,31.567633,75.023099,2024-10-16,7.24,0.1
FARMER_0419,31.176967,74.889063,2024-11-09,6.46,2.144
FARMER_0420,31.639124,74.769629,2024-11-12,3.8,3.06
FARMER_0421,29.910588,74.480445,2024-10-10,5.23,2.383
FARMER_0422,30.506578,76.438216,2024-10-22,4.39,0.758
