farmer_id,burn_risk_label,health_impact_score,biomass_tons,buyer_id,buyer_name,buyer_type,distance_km,price_per_ton_inr,gross_revenue_inr,logistics_cost_inr,net_revenue_inr,match_score,capacity_adequate,available_this_month,recommendation_rank
FARMER_0029,High,34.74,11.91,PM002,Shreyans Paper Punjab,paper_mill,147.5,1550,18460.0,8703.0,9758.0,0.4376,True,True,3
FARMER_0021,High,34.67,20.41,CF001,Punjab Agri Compost Hub,compost_facility,35.1,900,18369.0,8051.0,10318.0,0.6613,True,True,1
FARMER_0021,High,34.67,20.41,AF001,Punjab Dairy Cooperative,animal_feed,104.0,1200,24492.0,20711.0,3781.0,0.5126,True,False,2
FARMER_0021,High,34.67,20.41,BP002,Doaba Thermal Biomass,biomass_power,121.5,1350,27554.0,23921.0,3632.0,0.4335,True,True,3
FARMER_0030,High,34.63,21.13,CF001,Punjab Agri Compost Hub,compost_facility,62.1,900,19017.0,13419.0,5598.0,0.5893,True,True,1
FARMER_0030,High,34.63,21.13,AF001,Punjab Dairy Cooperative,animal_feed,113.8,1200,25356.0,23237.0,2119.0,0.4866,True,False,2
FARMER_0030,High,34.63,21.13,BP001,Malwa Power Plant,biomass_power,134.0,1400,29582.0,27081.0,2501.0,0.406,True,True,3
FARMER_0017,High,34.26,16.69,AF001,Punjab Dairy Cooperative,animal_feed,9.5,1200,20028.0,1513.0,18515.0,0.7647,True,False,1
FARMER_0017,High,34.26,16.69,BP002,Doaba Thermal Biomass,biomass_power,37.9,1350,22532.0,3648.0,18884.0,0.6564,True,True,2
FARMER_0017,High,34.26,16.69,CF001,Punjab Agri Compost Hub,compost_facility,62.5,900,15021.0,5497.0,9524.0,0.5882,True,True,3
FARMER_0016,High,33.83,39.41,PL002,Biomass Pellets Ambala,pellet_plant,21.8,1400,55174.0,9342.0,45832.0,0.7551,True,True,1
FARMER_0016,High,33.83,39.41,BG003,Greenfield Biogas Patiala,biogas_plant,41.4,1700,66997.0,16298.0,50699.0,0.7378,True,True,2
FARMER_0016,High,33.83,39.41,BP003,Haryana Green Power,biomass_power,59.0,1300,51233.0,22542.0,28691.0,0.6442,True,True,3
FARMER_0010,High,33.56,11.76,BG003,Greenfield Biogas Patiala,biogas_plant,57.8,1700,19992.0,3859.0,16133.0,0.6942,True,True,1
FARMER_0010,High,33.56,11.76,PL001,Punjab Pellets Ltd,pellet_plant,31.5,1450,17052.0,2465.0,14587.0,0.6853,True,True,2
FARMER_0010,High,33.56,11.76,PM002,Shreyans Paper Punjab,paper_mill,67.4,1550,18228.0,4367.0,13861.0,0.6511,True,True,3
FARMER_0007,High,32.92,23.39,CF001,Punjab Agri Compost Hub,compost_facility,58.4,900,21051.0,13889.0,7162.0,0.5993,True,True,1
FARMER_0007,High,32.92,23.39,AF001,Punjab Dairy Cooperative,animal_feed,123.0,1200,28068.0,27489.0,579.0,0.462,True,False,2
FARMER_0007,High,32.92,23.39,BP002,Doaba Thermal Biomass,biomass_power,143.4,1350,31576.0,31796.0,-220.0,0.375,True,True,3
FARMER_0022,Moderate,27.97,21.87,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,114.2,1800,39366.0,24078.0,15288.0,0.5555,True,True,1
FARMER_0022,Moderate,27.97,21.87,BP001,Malwa Power Plant,biomass_power,113.3,1400,30618.0,23893.0,6725.0,0.4613,True,True,2
FARMER_0020,Moderate,27.04,20.83,CF001,Punjab Agri Compost Hub,compost_facility,59.0,900,18747.0,12653.0,6094.0,0.5978,True,True,1
FARMER_0020,Moderate,27.04,20.83,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,144.7,1800,37494.0,28725.0,8769.0,0.4742,True,True,2
FARMER_0020,Moderate,27.04,20.83,BP001,Malwa Power Plant,biomass_power,114.9,1400,29162.0,23132.0,6030.0,0.457,True,True,3
FARMER_0003,Moderate,25.96,21.3,CF001,Punjab Agri Compost Hub,compost_facility,50.7,900,19170.0,11321.0,7849.0,0.6198,True,True,1
FARMER_0003,Moderate,25.96,21.3,BP002,Doaba Thermal Biomass,biomass_power,113.9,1350,28755.0,23439.0,5316.0,0.4537,True,True,2
FARMER_0011,Moderate,25.38,0.23,PM002,Shreyans Paper Punjab,paper_mill,35.2,1550,356.0,836.0,-480.0,0.7369,True,True,1
FARMER_0011,Moderate,25.38,0.23,BG001,NTPC Bio-Energy Ramgarh,biogas_plant,63.6,1800,414.0,866.0,-452.0,0.6905,True,True,2
FARMER_0011,Moderate,25.38,0.23,BP001,Malwa Power Plant,biomass_power,39.6,1400,322.0,841.0,-519.0,0.6577,True,True,3
FARMER_0001,Moderate,25.24,3.47,BP002,Doaba Thermal Biomass,biomass_power,111.7,1350,4684.0,2544.0,2140.0,0.4596,True,True,1
FARMER_0001,Moderate,25.24,3.47,PL001,Punjab Pellets Ltd,pellet_plant,135.5,1450,5032.0,2915.0,2116.0,0.4079,True,True,2
FARMER_0001,Moderate,25.24,3.47,AF001,Punjab Dairy Cooperative,animal_feed,143.6,1200,4164.0,3043.0,1121.0,0.407,True,False,3
FARMER_0002,Moderate,25.02,5.26,PL002,Biomass Pellets Ambala,pellet_plant,75.6,1400,7364.0,2590.0,4774.0,0.6117,True,True,1
FARMER_0002,Moderate,25.02,5.26,BG003,Greenfield Biogas Patiala,biogas_plant,108.8,1700,8942.0,3376.0,5566.0,0.5581,True,True,2
FARMER_0002,Moderate,25.02,5.26,BG002,Punjab Biogas Ludhiana,biogas_plant,145.6,1750,9205.0,4247.0,4958.0,0.4658,True,True,3
FARMER_0006,Moderate,21.39,12.51,CF001,Punjab Agri Compost Hub,compost_facility,94.9,900,11259.0,6140.0,5119.0,0.5021,True,True,1
FARMER_0004,Moderate,19.13,29.97,CF001,Punjab Agri Compost Hub,compost_facility,28.6,900,26973.0,9325.0,17648.0,0.6786,True,True,1
FARMER_0004,Moderate,19.13,29.97,AF001,Punjab Dairy Cooperative,animal_feed,56.1,1200,35964.0,16727.0,19237.0,0.6405,True,False,2
FARMER_0004,Moderate,19.13,29.97,BP002,Doaba Thermal Biomass,biomass_power,61.7,1350,40460.0,18230.0,22230.0,0.5931,True,True,3
FARMER_0025,Moderate,17.8,13.97,BP002,Doaba Thermal Biomass,biomass_power,102.2,1350,18860.0,7224.0,11636.0,0.485,True,True,1
FARMER_0025,Moderate,17.8,13.97,AF001,Punjab Dairy Cooperative,animal_feed,133.2,1200,16764.0,9175.0,7589.0,0.4348,True,False,2
FARMER_0025,Moderate,17.8,13.97,PL001,Punjab Pellets Ltd,pellet_plant,132.1,1450,20256.0,9103.0,11154.0,0.417,True,True,3
FARMER_0028,Moderate,17.14,13.21,BP003,Haryana Green Power,biomass_power,48.7,1300,17173.0,3695.0,13478.0,0.6718,True,True,1
FARMER_0028,Moderate,17.14,13.21,BG003,Greenfield Biogas Patiala,biogas_plant,91.5,1700,22457.0,6237.0,16220.0,0.6044,True,True,2
FARMER_0028,Moderate,17.14,13.21,PM002,Shreyans Paper Punjab,paper_mill,93.5,1550,20476.0,6357.0,14118.0,0.5815,True,True,3
