date,aqi,temperature,humidity,wind_speed,day_of_year,month,biomass_tons_per_ha
2022-05-04,227.9,35.5,47.2,3.43,124,5,2.58
2022-05-05,259.3,39.7,48.1,1.97,125,5,3.104
2022-05-06,247.2,43.1,37.9,2.54,126,5,2.481
2022-05-07,239.1,36.9,36.4,1.88,127,5,2.571
2022-05-08,242.4,37.9,42.6,1.88,128,5,2.542
2022-05-09,210.0,39.4,37.3,4.16,129,5,2.541
2022-05-10,222.1,38.4,43.0,1.91,130,5,2.53
2022-05-11,226.9,36.4,40.6,2.5,131,5,2.693
2022-05-12,225.9,39.8,31.8,2.24,132,5,2.795
2022-05-13,229.0,37.7,46.9,2.11,133,5,2.653
2022-05-14,187.8,41.0,48.0,3.96,134,5,2.497
2022-05-15,220.5,38.3,35.7,1.65,135,5,2.779
2022-05-16,218.4,43.4,36.6,2.7,136,5,2.625
2022-05-17,194.9,38.9,39.8,4.89,137,5,2.495
2022-05-18,211.6,40.0,39.9,2.38,138,5,2.592
2022-05-19,195.6,42.4,41.3,4.3,139,5,2.395
2022-05-20,219.9,38.4,47.9,1.57,140,5,2.385
2022-05-21,244.0,41.5,36.8,2.03,141,5,2.763
2022-05-22,211.2,43.8,33.5,1.77,142,5,2.295
2022-05-23,185.4,38.0,30.4,2.76,143,5,2.314
2022-05-24,169.5,41.7,33.5,5.4,144,5,2.589
2022-05-25,192.7,42.0,36.8,1.7,145,5,2.353
2022-05-26,184.3,43.2,45.8,2.44,146,5,2.079
2022-05-27,181.1,39.2,34.1,1.58,147,5,2.058
2022-05-28,164.3,39.2,37.7,2.18,148,5,1.988
2022-05-29,179.6,43.0,36.4,1.95,149,5,2.148
2022-05-30,165.1,42.6,42.3,4.88,150,5,2.03
2022-05-31,182.7,42.6,48.8,2.22,151,5,1.904
2022-06-01,197.3,42.9,33.4,1.7,152,6,2.475
2022-06-02,185.3,40.9,33.5,1.37,153,6,1.96
2022-06-03,168.4,42.8,41.1,1.4,154,6,1.833
2022-06-04,177.8,43.0,39.2,1.48,155,6,1.888
2022-06-05,170.3,41.1,44.9,1.49,156,6,1.95
2022-06-06,166.7,46.3,38.5,3.09,157,6,1.714
2022-06-07,139.6,43.6,33.7,2.0,158,6,1.739
2022-06-08,163.0,40.3,38.4,1.9,159,6,1.983
2022-06-09,175.5,44.0,40.9,1.27,160,6,1.758
2022-06-10,163.2,40.8,39.4,3.1,161,6,1.776
2022-06-11,199.9,44.4,37.8,2.41,162,6,1.716
2022-06-12,180.4,45.2,40.5,1.18,163,6,1.598
2022-06-13,145.3,41.2,41.0,2.33,164,6,1.613
2022-06-14,154.5,44.8,42.0,1.87,165,6,1.684
2022-06-15,134.1,43.8,38.3,1.17,166,6,1.603
2022-06-16,147.1,44.6,34.2,1.68,167,6,1.558
2022-06-17,153.1,46.8,35.8,1.72,168,6,1.912
2022-06-18,201.4,42.5,41.0,1.24,169,6,2.329
2022-06-19,152.4,41.5,30.9,3.96,170,6,1.844
2022-06-20,154.6,41.2,36.8,2.94,171,6,1.908
2022-06-21,140.2,41.4,33.0,2.14,172,6,1.575
2022-06-22,198.6,42.8,35.2,1.65,173,6,2.163
2022-06-23,161.4,43.7,41.4,1.55,174,6,1.557
2022-06-24,200.4,43.5,36.0,2.07,175,6,2.116
2022-06-25,216.5,44.6,35.3,1.8,176,6,2.562
2022-06-26,189.7,43.0,28.3,1.07,177,6,1.756
2022-06-27,196.1,45.8,38.9,1.72,178,6,2.3
2022-06-28,165.7,42.3,38.4,2.65,179,6,1.673
2022-06-29,125.4,48.3,46.0,1.62,180,6,1.564
2022-06-30,144.4,44.0,33.7,1.05,181,6,1.618
2022-07-01,157.3,41.0,36.4,2.54,182,7,1.683
2022-07-02,151.5,40.6,36.7,1.22,183,7,1.517
2022-07-03,135.7,43.6,43.4,1.3,184,7,1.696
2022-07-04,175.9,42.1,35.1,1.18,185,7,2.296
2022-07-05,182.2,43.9,37.0,1.4,186,7,1.543
2022-07-06,179.7,43.4,38.8,2.42,187,7,1.815
2022-07-07,171.1,42.2,36.8,1.74,188,7,1.978
2022-07-08,191.4,40.6,33.7,1.24,189,7,2.076
2022-07-09,165.2,39.2,37.0,3.12,190,7,2.145
2022-07-10,117.1,41.2,41.5,3.14,191,7,1.648
2022-07-11,139.1,43.8,31.1,3.07,192,7,2.257
2022-07-12,177.9,42.4,37.1,1.31,193,7,1.783
2022-07-13,149.3,39.4,33.0,1.64,194,7,1.535
2022-07-14,115.9,42.1,42.6,5.25,195,7,1.63
2022-07-15,131.5,42.4,29.2,2.53,196,7,1.753
2022-07-16,172.8,39.8,34.1,1.09,197,7,1.557
2022-07-17,186.4,41.7,39.0,1.14,198,7,1.705
2022-07-18,195.3,41.4,45.1,1.7,199,7,1.72
2022-07-19,140.6,38.9,37.1,3.49,200,7,1.536
2022-07-20,149.0,41.8,34.8,1.87,201,7,1.667
2022-07-21,130.0,42.1,47.1,1.8,202,7,1.795
2022-07-22,167.3,43.0,30.7,1.23,203,7,1.638
2022-07-23,125.6,42.8,27.1,2.2,204,7,1.502
2022-07-24,128.3,37.8,40.5,2.87,205,7,1.502
2022-07-25,122.7,38.5,36.0,1.64,206,7,1.588
2022-07-26,137.7,41.3,33.6,2.67,207,7,2.021
2022-07-27,104.8,41.1,42.4,4.53,208,7,1.552
2022-07-28,129.0,41.0,40.3,1.43,209,7,1.701
2022-07-29,127.0,47.5,36.5,1.96,210,7,1.55
2022-07-30,130.4,40.8,33.1,1.57,211,7,1.578
2022-07-31,154.1,41.7,44.1,2.83,212,7,1.877
2022-08-01,133.1,41.2,43.2,2.13,213,8,1.761
2022-08-02,135.7,40.4,39.7,2.29,214,8,1.52
2022-08-03,150.2,38.3,49.6,2.9,215,8,1.612
2022-08-04,133.0,40.3,35.3,1.83,216,8,1.506
2022-08-05,114.0,37.0,33.3,3.81,217,8,1.631
2022-08-06,132.5,37.9,37.7,2.12,218,8,1.717
2022-08-07,156.2,37.2,41.2,1.55,219,8,1.526
2022-08-08,141.9,38.2,42.9,2.59,220,8,1.569
2022-08-09,124.9,42.5,40.7,3.0,221,8,1.602
2022-08-10,160.6,33.9,43.9,1.83,222,8,2.005
2022-08-11,154.8,38.8,36.2,3.41,223,8,2.501
2022-08-12,136.7,34.0,49.9,3.85,224,8,1.51
2022-08-13,154.5,36.1,42.6,1.84,225,8,1.787
2022-08-14,111.0,39.0,48.8,5.64,226,8,1.594
2022-08-15,121.9,36.7,45.2,1.71,227,8,1.601
2022-08-16,131.0,34.2,46.1,1.81,228,8,1.783
2022-08-17,164.0,34.7,46.9,1.81,229,8,2.004
2022-08-18,172.0,37.3,46.6,3.88,230,8,2.106
2022-08-19,138.6,34.3,47.9,2.72,231,8,1.676
2022-08-20,148.9,36.0,51.6,1.85,232,8,1.593
2022-08-21,119.3,35.4,46.3,2.29,233,8,1.815
2022-08-22,119.9,33.8,49.1,2.69,234,8,1.564
2022-08-23,139.6,39.1,45.4,1.85,235,8,1.674
2022-08-24,112.9,35.9,53.4,3.93,236,8,1.598
2022-08-25,113.6,30.3,43.1,3.45,237,8,1.725
2022-08-26,119.0,34.5,55.8,2.55,238,8,1.568
2022-08-27,112.9,32.6,46.9,5.29,239,8,1.558
2022-08-28,145.3,35.4,40.3,2.44,240,8,2.019
2022-08-29,76.4,31.8,48.4,6.07,241,8,1.542
2022-08-30,86.7,33.0,44.7,3.06,242,8,1.666
2022-08-31,109.8,34.0,52.6,3.0,243,8,1.579
2022-09-01,137.8,34.4,45.5,2.2,244,9,1.541
2022-09-02,82.7,30.1,46.8,4.19,245,9,1.546
2022-09-03,114.1,31.5,39.9,2.64,246,9,1.584
2022-09-04,141.0,31.0,47.5,2.29,247,9,1.955
2022-09-05,166.0,30.4,37.9,2.15,248,9,1.627
2022-09-06,162.3,35.0,42.5,2.99,249,9,2.17
2022-09-07,156.6,32.0,54.5,2.95,250,9,1.754
2022-09-08,145.2,28.4,55.0,3.51,251,9,1.706
2022-09-09,103.2,32.5,53.5,4.48,252,9,1.778
2022-09-10,150.6,34.7,46.9,2.38,253,9,1.765
2022-09-11,152.9,32.3,51.8,3.65,254,9,1.92
2022-09-12,159.0,26.9,52.4,2.57,255,9,1.72
2022-09-13,199.8,28.7,47.0,4.35,256,9,1.761
2022-09-14,139.3,32.0,60.6,4.14,257,9,2.146
2022-09-15,192.3,27.7,57.8,3.24,258,9,2.307
2022-09-16,169.9,29.8,52.7,3.74,259,9,2.195
2022-09-17,166.5,30.2,54.3,2.91,260,9,1.887
2022-09-18,167.6,26.5,55.5,3.2,261,9,2.114
2022-09-19,148.2,28.0,44.6,4.32,262,9,1.976
2022-09-20,151.0,21.4,53.9,3.25,263,9,2.024
2022-09-21,164.9,25.6,52.1,3.11,264,9,1.974
2022-09-22,146.7,26.8,50.9,3.38,265,9,2.153
2022-09-23,163.2,24.6,54.8,4.5,266,9,2.064
2022-09-24,165.3,30.1,65.5,3.18,267,9,2.156
2022-09-25,171.6,23.7,60.1,2.99,268,9,2.518
2022-09-26,164.2,25.4,54.4,4.08,269,9,2.239
2022-09-27,185.0,26.3,60.4,4.62,270,9,2.272
2022-09-28,180.4,28.7,64.9,3.01,271,9,2.339
2022-09-29,216.1,22.7,62.9,3.21,272,9,2.963
2022-09-30,197.7,27.6,58.9,3.13,273,9,2.615
2022-10-01,214.3,25.1,55.7,3.44,274,10,2.658
2022-10-02,229.4,22.8,62.8,3.64,275,10,2.969
2022-10-03,249.9,25.5,61.6,4.46,276,10,3.085
2022-10-04,220.9,24.7,64.4,4.16,277,10,2.894
2022-10-05,235.7,22.8,63.4,4.12,278,10,3.144
2022-10-06,242.2,23.9,65.9,3.61,279,10,3.298
2022-10-07,251.7,22.8,58.3,5.06,280,10,3.315
2022-10-08,231.1,23.5,67.8,3.89,281,10,3.237
2022-10-09,240.7,24.4,62.6,7.15,282,10,3.724
2022-10-10,246.3,26.0,72.3,4.32,283,10,3.566
2022-10-11,257.7,20.1,58.8,3.49,284,10,3.583
2022-10-12,261.8,26.6,71.2,4.51,285,10,3.734
2022-10-13,271.7,18.2,63.9,3.81,286,10,3.737
2022-10-14,268.2,21.6,59.9,4.61,287,10,3.862
2022-10-15,295.7,22.8,61.1,3.56,288,10,4.229
2022-10-16,316.2,22.0,62.2,3.71,289,10,4.042
2022-10-17,308.1,19.9,66.2,5.49,290,10,4.25
2022-10-18,323.0,20.5,67.0,3.84,291,10,4.387
2022-10-19,293.8,19.7,61.9,5.43,292,10,4.345
2022-10-20,322.7,19.3,64.9,3.98,293,10,5.146
2022-10-21,330.2,22.0,76.0,4.71,294,10,4.56
2022-10-22,334.3,20.8,74.3,4.9,295,10,4.661
2022-10-23,351.4,18.4,68.1,4.47,296,10,4.735
2022-10-24,330.4,21.4,66.4,4.14,297,10,4.783
2022-10-25,331.4,20.0,67.1,4.05,298,10,4.792
2022-10-26,325.0,20.8,69.8,3.88,299,10,5.107
2022-10-27,358.1,20.2,61.9,4.24,300,10,5.574
2022-10-28,359.9,17.1,66.0,4.96,301,10,4.981
2022-10-29,332.8,17.4,59.2,6.72,302,10,5.178
2022-10-30,350.4,19.9,69.8,6.01,303,10,5.253
2022-10-31,353.1,19.4,71.3,5.45,304,10,5.373
2022-11-01,350.6,17.9,65.9,5.58,305,11,5.11
2022-11-02,330.0,18.0,76.5,5.15,306,11,5.068
2022-11-03,348.7,20.2,62.7,4.38,307,11,5.061
2022-11-04,297.8,16.2,61.8,6.49,308,11,5.21
2022-11-05,337.4,18.3,70.5,5.25,309,11,5.27
2022-11-06,316.7,16.7,74.8,4.99,310,11,4.932
2022-11-07,359.2,16.4,78.2,4.31,311,11,4.939
2022-11-08,374.8,18.9,67.8,4.82,312,11,5.256
2022-11-09,367.0,18.2,75.7,4.87,313,11,5.06
2022-11-10,387.4,18.0,70.3,6.28,314,11,5.501
2022-11-11,341.1,18.8,69.8,5.09,315,11,4.869
2022-11-12,360.1,16.1,75.3,4.81,316,11,4.609
2022-11-13,327.3,17.3,74.4,8.12,317,11,4.602
2022-11-14,327.3,15.1,63.4,4.5,318,11,4.55
2022-11-15,333.0,16.3,78.9,4.95,319,11,4.256
2022-11-16,307.2,15.2,78.6,4.47,320,11,4.299
2022-11-17,293.1,15.5,68.8,5.8,321,11,4.289
2022-11-18,270.6,16.4,74.1,6.98,322,11,3.975
2022-11-19,289.3,13.4,74.7,4.83,323,11,4.138
2022-11-20,264.9,19.1,73.7,6.48,324,11,3.904
2022-11-21,318.1,12.8,69.8,4.89,325,11,4.231
2022-11-22,267.3,12.3,69.4,6.98,326,11,3.525
2022-11-23,267.6,16.9,72.8,5.99,327,11,3.473
2022-11-24,253.0,16.0,78.9,6.24,328,11,3.491
2022-11-25,234.4,15.6,75.9,4.65,329,11,3.274
2022-11-26,237.5,15.5,71.5,7.94,330,11,3.353
2022-11-27,219.4,14.1,77.3,5.96,331,11,3.288
2022-11-28,235.0,12.2,59.4,5.05,332,11,2.929
2022-11-29,210.4,14.1,79.5,6.47,333,11,2.958
2022-11-30,261.5,12.5,65.2,5.05,334,11,2.865
2022-12-01,241.7,15.7,72.2,6.8,335,12,2.728
2022-12-02,254.1,13.4,68.5,4.88,336,12,3.093
2022-12-03,256.0,12.0,67.7,5.99,337,12,2.825
2022-12-04,221.2,12.9,80.1,5.57,338,12,2.636
2022-12-05,234.9,14.3,72.0,4.9,339,12,2.576
2022-12-06,224.9,12.3,76.2,5.09,340,12,2.381
2022-12-07,238.1,11.7,74.3,4.84,341,12,2.7
2022-12-08,239.3,13.8,77.0,5.48,342,12,2.369
2022-12-09,232.8,13.7,75.0,5.22,343,12,2.337
2022-12-10,223.3,12.2,68.3,5.78,344,12,2.418
2022-12-11,180.9,12.2,79.8,5.24,345,12,2.038
2022-12-12,187.6,13.6,72.4,5.25,346,12,2.257
2022-12-13,181.3,10.2,67.1,6.26,347,12,1.929
2022-12-14,193.6,10.3,72.8,4.96,348,12,1.932
2022-12-15,159.4,11.6,82.4,7.26,349,12,1.893
2022-12-16,232.1,12.6,79.2,6.85,350,12,2.547
2022-12-17,230.8,13.6,73.2,6.04,351,12,2.137
2022-12-18,211.7,16.0,73.2,5.85,352,12,1.963
2022-12-19,187.4,14.7,73.4,7.19,353,12,1.956
2022-12-20,187.7,12.7,85.4,5.17,354,12,1.839
2022-12-21,194.0,13.0,76.9,5.05,355,12,2.242
2022-12-22,191.4,11.0,77.1,5.25,356,12,1.773
2022-12-23,180.8,13.0,80.1,6.56,357,12,1.715
2022-12-24,164.8,12.5,76.1,5.02,358,12,1.64
2022-12-25,187.6,13.7,73.6,5.86,359,12,1.9
2022-12-26,149.0,11.4,73.9,10.38,360,12,1.845
2022-12-27,131.9,14.2,74.5,6.93,361,12,1.666
2022-12-28,148.4,16.2,74.6,5.73,362,12,1.565
2022-12-29,179.7,13.0,78.4,5.06,363,12,1.917
2022-12-30,195.4,14.0,74.9,6.78,364,12,1.547
2022-12-31,196.7,14.7,78.3,5.91,365,12,1.782
2023-01-01,192.1,12.5,74.2,5.12,1,1,2.203
2023-01-02,195.0,13.8,74.9,5.1,2,1,1.615
2023-01-03,144.8,13.5,64.4,7.4,3,1,1.554
2023-01-04,187.4,13.7,78.9,6.1,4,1,1.744
2023-01-05,175.6,12.0,76.0,6.76,5,1,1.84
2023-01-06,168.0,13.7,79.1,7.1,6,1,1.658
2023-01-07,218.3,14.7,59.5,5.83,7,1,2.182
2023-01-08,168.6,16.7,84.4,5.71,8,1,1.511
2023-01-09,158.8,15.8,73.1,5.54,9,1,1.641
2023-01-10,174.2,18.3,79.2,5.35,10,1,1.753
2023-01-11,207.6,12.6,68.4,5.53,11,1,1.897
2023-01-12,157.9,15.9,76.5,6.44,12,1,1.54
2023-01-13,139.3,14.7,68.0,5.87,13,1,1.822
2023-01-14,152.8,18.8,70.0,7.17,14,1,1.661
2023-01-15,182.8,12.9,82.6,5.52,15,1,1.601
2023-01-16,196.1,12.9,71.9,5.86,16,1,1.528
2023-01-17,189.7,13.5,73.8,5.91,17,1,1.901
2023-01-18,174.9,10.6,76.9,5.8,18,1,1.534
2023-01-19,193.2,13.9,74.8,6.11,19,1,1.574
2023-01-20,160.9,13.6,72.9,5.15,20,1,1.569
2023-01-21,183.7,15.6,73.8,5.59,21,1,1.91
2023-01-22,196.8,16.1,83.8,4.97,22,1,1.723
2023-01-23,205.6,19.3,71.3,5.33,23,1,1.819
2023-01-24,182.1,17.6,72.4,5.5,24,1,1.558
2023-01-25,185.8,14.7,76.5,5.87,25,1,1.696
2023-01-26,132.6,14.2,76.6,7.81,26,1,1.67
2023-01-27,168.5,17.1,76.8,5.71,27,1,1.858
2023-01-28,197.2,13.7,73.8,6.13,28,1,1.973
2023-01-29,170.8,20.1,64.7,5.46,29,1,1.502
2023-01-30,185.1,19.0,78.3,5.74,30,1,1.724
2023-01-31,194.3,15.9,64.2,4.8,31,1,1.511
2023-02-01,189.5,13.5,71.2,5.0,32,2,1.659
2023-02-02,191.0,19.9,65.7,5.14,33,2,1.568
2023-02-03,173.3,17.1,68.9,5.31,34,2,1.573
2023-02-04,184.8,20.0,70.6,4.69,35,2,1.587
2023-02-05,204.0,14.5,70.3,4.78,36,2,1.694
2023-02-06,197.2,16.7,70.6,4.93,37,2,1.581
2023-02-07,165.5,18.1,76.3,8.15,38,2,1.764
2023-02-08,187.2,18.4,70.2,4.97,39,2,1.604
2023-02-09,195.5,17.6,66.5,5.2,40,2,1.514
2023-02-10,171.8,19.9,72.3,4.74,41,2,1.806
2023-02-11,197.6,16.7,73.1,5.44,42,2,1.567
2023-02-12,189.7,18.8,60.8,4.81,43,2,1.613
2023-02-13,204.3,19.5,69.6,4.69,44,2,1.731
2023-02-14,210.4,20.5,69.8,5.16,45,2,1.581
2023-02-15,176.8,21.1,64.6,4.41,46,2,1.512
2023-02-16,179.9,17.7,72.6,4.39,47,2,1.594
2023-02-17,204.7,17.1,64.7,4.6,48,2,2.078
2023-02-18,191.5,22.9,65.8,4.37,49,2,1.705
2023-02-19,225.5,21.3,64.0,4.42,50,2,1.723
2023-02-20,193.6,19.3,64.7,4.69,51,2,1.7
2023-02-21,172.6,24.1,58.8,5.87,52,2,1.544
2023-02-22,186.5,21.5,56.8,5.07,53,2,1.608
2023-02-23,177.5,23.9,71.6,4.92,54,2,1.778
2023-02-24,179.6,21.9,59.1,4.52,55,2,1.521
2023-02-25,174.0,26.1,58.1,6.83,56,2,1.565
2023-02-26,179.9,25.7,51.9,4.62,57,2,1.565
2023-02-27,190.6,22.0,59.2,4.17,58,2,1.613
2023-02-28,207.2,24.6,55.5,5.01,59,2,2.286
2023-03-01,173.2,24.2,70.0,4.15,60,3,1.514
2023-03-02,193.5,25.9,66.5,4.42,61,3,1.646
2023-03-03,214.5,21.5,57.7,4.67,62,3,1.54
2023-03-04,210.4,25.0,72.0,6.01,63,3,2.206
2023-03-05,196.1,26.0,65.3,4.58,64,3,1.524
2023-03-06,197.8,20.7,58.5,5.08,65,3,1.603
2023-03-07,145.6,22.1,47.3,8.78,66,3,1.768
2023-03-08,211.9,20.6,70.9,3.95,67,3,1.744
2023-03-09,202.4,24.4,52.2,4.1,68,3,1.61
2023-03-10,218.5,26.6,50.5,4.25,69,3,1.585
2023-03-11,188.1,28.4,63.5,4.26,70,3,1.602
2023-03-12,215.7,25.8,70.3,4.21,71,3,1.562
2023-03-13,192.9,29.2,64.7,6.03,72,3,1.547
2023-03-14,195.1,23.4,60.2,4.87,73,3,1.633
2023-03-15,190.6,23.0,60.0,4.52,74,3,1.563
2023-03-16,186.7,26.6,61.0,3.92,75,3,1.569
2023-03-17,202.1,27.7,60.2,5.26,76,3,1.715
2023-03-18,199.0,27.2,57.4,6.59,77,3,2.194
2023-03-19,157.1,23.3,56.2,5.17,78,3,1.688
2023-03-20,164.2,27.6,55.0,3.42,79,3,1.519
2023-03-21,172.1,25.4,51.2,4.4,80,3,1.52
2023-03-22,213.1,29.6,53.3,3.4,81,3,2.11
2023-03-23,196.5,29.2,45.8,3.61,82,3,1.577
2023-03-24,210.4,26.9,53.5,3.34,83,3,1.527
2023-03-25,166.6,28.0,48.7,4.17,84,3,1.692
