date,biomass_tons_per_ha
2020-02-12,1.326
2020-02-13,1.365
2020-02-14,1.313
2020-02-15,1.336
2020-02-16,1.469
2020-02-17,1.644
2020-02-18,1.231
2020-02-19,1.251
2020-02-20,1.357
2020-02-21,1.669
2020-02-22,1.307
2020-02-23,1.39
2020-02-24,1.322
2020-02-25,1.68
2020-02-26,1.24
2020-02-27,1.275
2020-02-28,1.307
2020-02-29,1.352
2020-03-01,1.222
2020-03-02,1.715
2020-03-03,1.25
2020-03-04,1.241
2020-03-05,1.35
2020-03-06,1.588
2020-03-07,1.206
2020-03-08,1.388
2020-03-09,1.225
2020-03-10,1.268
2020-03-11,1.344
2020-03-12,1.212
2020-03-13,1.341
2020-03-14,1.283
2020-03-15,1.232
2020-03-16,1.287
2020-03-17,1.204
2020-03-18,1.262
2020-03-19,1.392
2020-03-20,1.293
2020-03-21,1.357
2020-03-22,1.611
2020-03-23,1.205
2020-03-24,1.701
2020-03-25,1.342
2020-03-26,1.297
2020-03-27,1.231
2020-03-28,1.264
2020-03-29,1.359
2020-03-30,1.335
2020-03-31,1.548
2020-04-01,1.215
2020-04-02,1.396
2020-04-03,1.211
2020-04-04,1.662
2020-04-05,1.259
2020-04-06,1.525
2020-04-07,1.245
2020-04-08,1.619
2020-04-09,1.303
2020-04-10,1.51
2020-04-11,1.295
2020-04-12,1.988
2020-04-13,1.345
2020-04-14,1.374
2020-04-15,1.355
2020-04-16,1.467
2020-04-17,1.546
2020-04-18,1.42
2020-04-19,1.465
2020-04-20,1.736
2020-04-21,1.635
2020-04-22,1.628
2020-04-23,1.616
2020-04-24,1.759
2020-04-25,1.785
2020-04-26,2.025
2020-04-27,1.846
2020-04-28,1.95
2020-04-29,2.266
2020-04-30,1.957
2020-05-01,2.048
2020-05-02,2.307
2020-05-03,2.245
2020-05-04,2.238
2020-05-05,2.245
2020-05-06,2.329
2020-05-07,2.325
2020-05-08,2.41
2020-05-09,2.25
2020-05-10,2.223
2020-05-11,2.408
2020-05-12,2.36
2020-05-13,2.224
2020-05-14,2.356
2020-05-15,2.194
2020-05-16,2.324
2020-05-17,2.065
2020-05-18,2.108
2020-05-19,1.961
2020-05-20,1.884
2020-05-21,1.94
2020-05-22,1.786
2020-05-23,1.741
2020-05-24,1.755
2020-05-25,1.688
2020-05-26,1.7
2020-05-27,1.586
2020-05-28,2.131
2020-05-29,1.568
2020-05-30,1.436
2020-05-31,1.562
2020-06-01,1.445
2020-06-02,1.476
2020-06-03,1.32
2020-06-04,1.397
2020-06-05,1.344
2020-06-06,1.356
2020-06-07,1.314
2020-06-08,1.375
2020-06-09,1.265
2020-06-10,1.373
2020-06-11,1.551
2020-06-12,1.246
2020-06-13,1.251
2020-06-14,1.485
2020-06-15,1.373
2020-06-16,1.296
2020-06-17,1.251
2020-06-18,1.522
2020-06-19,1.442
2020-06-20,1.203
2020-06-21,1.219
2020-06-22,1.22
2020-06-23,1.505
2020-06-24,1.287
2020-06-25,1.279
2020-06-26,1.262
2020-06-27,1.252
2020-06-28,1.495
2020-06-29,1.323
2020-06-30,1.432
2020-07-01,1.307
2020-07-02,1.253
2020-07-03,1.254
2020-07-04,1.587
2020-07-05,1.357
2020-07-06,1.204
2020-07-07,1.301
2020-07-08,1.22
2020-07-09,1.498
2020-07-10,1.248
2020-07-11,1.507
2020-07-12,1.243
2020-07-13,1.202
2020-07-14,1.221
2020-07-15,1.259
2020-07-16,1.247
2020-07-17,1.203
2020-07-18,1.298
2020-07-19,1.209
2020-07-20,1.383
2020-07-21,1.303
2020-07-22,1.265
2020-07-23,1.332
2020-07-24,1.319
2020-07-25,1.485
2020-07-26,1.242
2020-07-27,1.206
2020-07-28,1.996
2020-07-29,1.324
2020-07-30,1.211
2020-07-31,1.467
2020-08-01,1.57
2020-08-02,1.856
2020-08-03,1.504
2020-08-04,1.231
2020-08-05,1.281
2020-08-06,1.273
2020-08-07,1.337
2020-08-08,1.242
2020-08-09,1.439
2020-08-10,1.32
2020-08-11,1.258
2020-08-12,1.476
2020-08-13,1.22
2020-08-14,1.43
2020-08-15,1.829
2020-08-16,1.324
2020-08-17,1.314
2020-08-18,1.274
2020-08-19,1.299
2020-08-20,1.436
2020-08-21,1.207
2020-08-22,1.416
2020-08-23,1.251
2020-08-24,1.211
2020-08-25,1.278
2020-08-26,1.264
2020-08-27,1.779
2020-08-28,1.41
2020-08-29,1.21
2020-08-30,1.796
2020-08-31,1.213
2020-09-01,1.329
2020-09-02,1.39
2020-09-03,1.557
2020-09-04,1.424
2020-09-05,1.231
2020-09-06,1.262
2020-09-07,1.248
2020-09-08,1.301
2020-09-09,1.282
2020-09-10,1.479
2020-09-11,1.412
2020-09-12,1.343
2020-09-13,1.32
2020-09-14,1.569
2020-09-15,1.424
2020-09-16,1.37
2020-09-17,1.663
2020-09-18,1.486
2020-09-19,1.454
2020-09-20,1.516
2020-09-21,2.129
2020-09-22,1.718
2020-09-23,1.631
2020-09-24,1.989
2020-09-25,1.727
2020-09-26,1.905
2020-09-27,1.884
2020-09-28,2.06
2020-09-29,2.085
2020-09-30,2.165
2020-10-01,2.212
2020-10-02,2.303
2020-10-03,2.551
2020-10-04,2.539
2020-10-05,2.547
2020-10-06,2.788
2020-10-07,3.14
2020-10-08,2.95
2020-10-09,3.365
2020-10-10,3.324
2020-10-11,3.267
2020-10-12,3.511
2020-10-13,3.554
2020-10-14,3.799
2020-10-15,3.797
2020-10-16,3.984
2020-10-17,4.043
2020-10-18,4.174
2020-10-19,4.486
2020-10-20,4.673
2020-10-21,4.687
2020-10-22,4.685
2020-10-23,4.663
2020-10-24,4.967
2020-10-25,4.85
2020-10-26,5.046
2020-10-27,5.133
2020-10-28,4.995
2020-10-29,5.095
2020-10-30,5.062
2020-10-31,5.29
2020-11-01,5.062
2020-11-02,5.026
2020-11-03,4.999
2020-11-04,4.966
2020-11-05,5.219
2020-11-06,4.795
2020-11-07,5.009
2020-11-08,4.661
2020-11-09,4.635
2020-11-10,4.633
2020-11-11,4.464
2020-11-12,4.34
2020-11-13,4.195
2020-11-14,4.04
2020-11-15,3.928
2020-11-16,3.807
2020-11-17,3.64
2020-11-18,3.519
2020-11-19,3.435
2020-11-20,3.331
2020-11-21,3.135
2020-11-22,3.115
2020-11-23,2.952
2020-11-24,2.93
2020-11-25,2.905
2020-11-26,2.541
2020-11-27,2.515
2020-11-28,2.34
2020-11-29,2.441
2020-11-30,2.625
2020-12-01,2.232
2020-12-02,1.993
2020-12-03,2.304
2020-12-04,2.562
2020-12-05,1.883
2020-12-06,1.79
2020-12-07,1.755
2020-12-08,1.616
2020-12-09,1.754
2020-12-10,1.527
2020-12-11,1.54
2020-12-12,1.566
2020-12-13,1.571
2020-12-14,1.525
2020-12-15,1.499
2020-12-16,1.546
2020-12-17,1.39
2020-12-18,1.452
2020-12-19,1.637
2020-12-20,1.458
2020-12-21,1.465
2020-12-22,1.289
2020-12-23,1.674
2020-12-24,1.391
2020-12-25,1.301
2020-12-26,1.339
2020-12-27,1.333
2020-12-28,1.299
2020-12-29,1.384
2020-12-30,1.403
2020-12-31,1.533
2021-01-01,1.374
2021-01-02,1.538
2021-01-03,1.588
2021-01-04,1.241
2021-01-05,1.387
2021-01-06,1.202
2021-01-07,1.214
2021-01-08,1.202
2021-01-09,1.238
2021-01-10,1.243
2021-01-11,1.36
2021-01-12,1.252
2021-01-13,1.235
2021-01-14,1.569
2021-01-15,1.457
2021-01-16,1.215
2021-01-17,1.239
2021-01-18,1.419
2021-01-19,1.204
2021-01-20,1.282
2021-01-21,1.248
2021-01-22,1.247
2021-01-23,1.203
2021-01-24,1.361
2021-01-25,1.83
2021-01-26,1.45
2021-01-27,1.677
2021-01-28,1.251
2021-01-29,1.513
2021-01-30,1.246
2021-01-31,1.571
2021-02-01,1.251
2021-02-02,1.475
2021-02-03,1.241
2021-02-04,1.279
2021-02-05,1.527
2021-02-06,1.203
2021-02-07,1.208
2021-02-08,1.309
2021-02-09,1.497
2021-02-10,1.529
2021-02-11,1.294
2021-02-12,1.213
2021-02-13,1.409
2021-02-14,1.351
2021-02-15,1.309
2021-02-16,1.367
2021-02-17,1.35
2021-02-18,1.386
2021-02-19,1.254
2021-02-20,1.266
2021-02-21,1.282
2021-02-22,1.441
2021-02-23,1.305
2021-02-24,1.299
2021-02-25,1.203
2021-02-26,1.235
2021-02-27,1.268
2021-02-28,1.281
2021-03-01,1.272
2021-03-02,1.327
2021-03-03,1.286
2021-03-04,1.245
2021-03-05,1.318
2021-03-06,1.219
2021-03-07,1.22
2021-03-08,1.202
2021-03-09,1.329
2021-03-10,1.276
2021-03-11,1.479
2021-03-12,1.308
2021-03-13,1.562
2021-03-14,1.296
2021-03-15,1.209
2021-03-16,1.244
2021-03-17,1.56
2021-03-18,1.207
2021-03-19,1.287
2021-03-20,1.821
2021-03-21,1.603
2021-03-22,1.452
2021-03-23,1.433
2021-03-24,1.237
2021-03-25,1.348
2021-03-26,1.423
2021-03-27,1.396
2021-03-28,1.369
2021-03-29,1.3
2021-03-30,1.42
2021-03-31,1.308
2021-04-01,1.296
2021-04-02,1.49
2021-04-03,1.415
2021-04-04,1.629
2021-04-05,1.229
2021-04-06,1.391
2021-04-07,1.24
2021-04-08,1.264
2021-04-09,1.246
2021-04-10,1.265
2021-04-11,1.561
2021-04-12,1.421
2021-04-13,1.429
2021-04-14,1.308
2021-04-15,1.45
2021-04-16,1.581
2021-04-17,1.534
2021-04-18,1.403
2021-04-19,1.464
2021-04-20,1.808
2021-04-21,1.495
2021-04-22,1.623
2021-04-23,1.946
2021-04-24,1.62
2021-04-25,1.706
2021-04-26,1.719
2021-04-27,1.797
2021-04-28,1.836
2021-04-29,2.006
2021-04-30,1.991
2021-05-01,2.107
2021-05-02,2.024
2021-05-03,2.113
2021-05-04,2.123
2021-05-05,2.138
2021-05-06,2.421
2021-05-07,2.918
2021-05-08,2.211
2021-05-09,2.241
2021-05-10,2.247
2021-05-11,2.533
2021-05-12,2.255
2021-05-13,2.49
2021-05-14,2.823
2021-05-15,2.166
2021-05-16,2.087
2021-05-17,2.078
2021-05-18,2.103
2021-05-19,2.047
2021-05-20,2.124
2021-05-21,1.927
2021-05-22,1.849
2021-05-23,2.078
2021-05-24,1.937
2021-05-25,1.699
2021-05-26,1.782
2021-05-27,1.61
2021-05-28,1.549
2021-05-29,1.502
2021-05-30,1.505
2021-05-31,1.628
2021-06-01,1.981
2021-06-02,1.45
2021-06-03,1.82
2021-06-04,1.82
2021-06-05,1.395
2021-06-06,1.554
2021-06-07,1.522
2021-06-08,1.472
2021-06-09,1.362
2021-06-10,1.308
2021-06-11,1.399
2021-06-12,1.346
2021-06-13,1.375
2021-06-14,1.418
2021-06-15,1.333
2021-06-16,1.456
2021-06-17,1.282
2021-06-18,1.498
2021-06-19,1.48
2021-06-20,1.548
2021-06-21,1.838
2021-06-22,1.242
2021-06-23,1.422
2021-06-24,1.206
2021-06-25,1.478
2021-06-26,1.268
2021-06-27,1.327
2021-06-28,1.511
2021-06-29,1.231
2021-06-30,1.424
2021-07-01,1.293
2021-07-02,1.392
2021-07-03,1.52
2021-07-04,1.239
2021-07-05,1.3
2021-07-06,1.252
2021-07-07,1.254
2021-07-08,1.322
2021-07-09,1.412
2021-07-10,1.316
2021-07-11,1.536
2021-07-12,1.405
2021-07-13,1.235
2021-07-14,1.417
2021-07-15,1.374
2021-07-16,1.511
2021-07-17,1.259
2021-07-18,1.42
2021-07-19,1.319
2021-07-20,1.406
2021-07-21,1.202
2021-07-22,1.445
2021-07-23,1.266
2021-07-24,1.375
2021-07-25,1.582
2021-07-26,1.236
2021-07-27,1.214
2021-07-28,1.296
2021-07-29,1.243
2021-07-30,1.291
2021-07-31,1.349
2021-08-01,1.297
2021-08-02,1.316
2021-08-03,1.285
2021-08-04,1.377
2021-08-05,1.331
2021-08-06,1.463
2021-08-07,1.232
2021-08-08,1.483
2021-08-09,1.532
2021-08-10,1.231
2021-08-11,1.24
2021-08-12,1.265
2021-08-13,1.209
2021-08-14,1.476
2021-08-15,1.351
2021-08-16,1.236
2021-08-17,1.314
2021-08-18,1.25
2021-08-19,2.298
2021-08-20,1.349
2021-08-21,1.347
2021-08-22,1.223
2021-08-23,1.281
2021-08-24,1.255
2021-08-25,1.533
2021-08-26,1.205
2021-08-27,1.239
2021-08-28,1.209
2021-08-29,1.302
2021-08-30,1.491
2021-08-31,1.295
2021-09-01,1.289
2021-09-02,1.366
2021-09-03,1.547
2021-09-04,1.276
2021-09-05,1.504
2021-09-06,1.311
2021-09-07,1.498
2021-09-08,1.36
2021-09-09,1.329
2021-09-10,1.356
2021-09-11,1.709
2021-09-12,1.294
2021-09-13,1.348
2021-09-14,1.334
2021-09-15,1.52
2021-09-16,1.398
2021-09-17,1.378
2021-09-18,1.519
2021-09-19,1.585
2021-09-20,1.661
2021-09-21,1.521
2021-09-22,1.736
2021-09-23,1.634
2021-09-24,1.619
2021-09-25,1.669
2021-09-26,2.196
2021-09-27,1.895
2021-09-28,1.919
2021-09-29,1.913
2021-09-30,2.056
2021-10-01,2.114
2021-10-02,2.238
2021-10-03,2.276
2021-10-04,2.527
2021-10-05,2.468
2021-10-06,2.737
2021-10-07,2.661
2021-10-08,3.081
2021-10-09,2.93
2021-10-10,3.149
2021-10-11,3.169
2021-10-12,3.272
2021-10-13,3.69
2021-10-14,3.943
2021-10-15,3.818
2021-10-16,3.854
2021-10-17,4.027
2021-10-18,4.345
2021-10-19,4.576
2021-10-20,4.708
2021-10-21,5.045
2021-10-22,5.054
2021-10-23,4.899
2021-10-24,4.715
2021-10-25,4.902
2021-10-26,4.927
2021-10-27,4.919
2021-10-28,5.236
2021-10-29,5.38
2021-10-30,5.024
2021-10-31,5.106
2021-11-01,5.248
2021-11-02,5.501
2021-11-03,5.06
2021-11-04,5.002
2021-11-05,5.109
2021-11-06,4.858
2021-11-07,4.871
2021-11-08,4.77
2021-11-09,4.671
2021-11-10,4.633
2021-11-11,4.609
2021-11-12,4.416
2021-11-13,4.637
2021-11-14,4.187
2021-11-15,4.206
2021-11-16,4.52
2021-11-17,4.043
2021-11-18,3.755
2021-11-19,4.074
2021-11-20,3.463
2021-11-21,3.601
2021-11-22,3.124
2021-11-23,3.176
2021-11-24,2.944
2021-11-25,2.923
2021-11-26,2.803
2021-11-27,2.583
2021-11-28,2.468
2021-11-29,2.413
2021-11-30,2.491
2021-12-01,2.222
2021-12-02,2.222
2021-12-03,2.101
2021-12-04,1.971
2021-12-05,2.053
2021-12-06,1.931
2021-12-07,1.784
2021-12-08,1.734
2021-12-09,1.614
2021-12-10,1.655
2021-12-11,1.613
2021-12-12,1.511
2021-12-13,1.566
2021-12-14,1.692
2021-12-15,1.442
2021-12-16,1.464
2021-12-17,1.477
2021-12-18,1.464
2021-12-19,1.653
2021-12-20,1.304
2021-12-21,1.315
2021-12-22,1.697
2021-12-23,1.303
2021-12-24,1.328
2021-12-25,1.533
2021-12-26,1.291
2021-12-27,1.619
2021-12-28,1.272
2021-12-29,1.532
2021-12-30,1.321
2021-12-31,1.221
2022-01-01,1.601
2022-01-02,1.628
2022-01-03,1.35
2022-01-04,1.681
2022-01-05,1.654
2022-01-06,1.308
2022-01-07,1.325
2022-01-08,1.292
2022-01-09,1.222
2022-01-10,1.2
2022-01-11,1.239
2022-01-12,1.262
2022-01-13,1.301
2022-01-14,1.668
2022-01-15,1.292
2022-01-16,1.479
2022-01-17,1.381
2022-01-18,1.421
2022-01-19,1.312
2022-01-20,1.272
2022-01-21,1.259
2022-01-22,1.721
2022-01-23,1.322
2022-01-24,1.235
2022-01-25,1.302
2022-01-26,1.316
2022-01-27,1.203
2022-01-28,1.205
2022-01-29,1.207
2022-01-30,1.291
2022-01-31,1.253
2022-02-01,1.301
2022-02-02,1.365
2022-02-03,1.366
2022-02-04,1.274
2022-02-05,1.925
2022-02-06,1.488
2022-02-07,1.283
2022-02-08,1.349
2022-02-09,1.223
2022-02-10,1.419
2022-02-11,1.395
2022-02-12,1.304
2022-02-13,1.291
2022-02-14,1.293
2022-02-15,1.337
2022-02-16,1.323
2022-02-17,1.76
2022-02-18,1.207
2022-02-19,1.388
2022-02-20,1.327
2022-02-21,1.291
2022-02-22,1.272
2022-02-23,1.29
2022-02-24,1.299
2022-02-25,1.351
2022-02-26,1.257
2022-02-27,1.203
2022-02-28,1.426
2022-03-01,1.252
2022-03-02,1.273
2022-03-03,1.339
2022-03-04,1.494
2022-03-05,1.578
2022-03-06,1.304
2022-03-07,1.227
2022-03-08,1.296
2022-03-09,1.457
2022-03-10,1.243
2022-03-11,1.334
2022-03-12,1.251
2022-03-13,1.266
2022-03-14,1.508
2022-03-15,1.339
2022-03-16,1.39
2022-03-17,1.263
2022-03-18,1.264
2022-03-19,1.436
2022-03-20,1.207
2022-03-21,1.228
2022-03-22,1.331
2022-03-23,1.304
2022-03-24,1.622
2022-03-25,1.44
2022-03-26,1.417
2022-03-27,1.381
2022-03-28,1.204
2022-03-29,1.521
2022-03-30,1.31
2022-03-31,1.411
2022-04-01,1.31
2022-04-02,1.239
2022-04-03,1.356
2022-04-04,1.23
2022-04-05,1.286
2022-04-06,1.363
2022-04-07,1.314
2022-04-08,1.376
2022-04-09,1.582
2022-04-10,1.382
2022-04-11,1.274
2022-04-12,1.286
2022-04-13,1.505
2022-04-14,1.327
2022-04-15,1.315
2022-04-16,1.401
2022-04-17,1.363
2022-04-18,1.392
2022-04-19,1.452
2022-04-20,1.453
2022-04-21,1.707
2022-04-22,1.655
2022-04-23,1.696
2022-04-24,1.651
2022-04-25,1.671
2022-04-26,2.05
2022-04-27,1.763
2022-04-28,1.996
2022-04-29,1.876
2022-04-30,1.912
2022-05-01,2.08
2022-05-02,2.013
2022-05-03,2.06
2022-05-04,2.285
2022-05-05,2.487
2022-05-06,2.669
2022-05-07,2.185
2022-05-08,2.197
2022-05-09,2.221
2022-05-10,2.382
2022-05-11,2.23
2022-05-12,2.215
2022-05-13,2.298
2022-05-14,2.175
2022-05-15,3.034
2022-05-16,2.093
2022-05-17,2.195
2022-05-18,2.792
2022-05-19,2.011
2022-05-20,2.032
2022-05-21,1.859
2022-05-22,1.934
2022-05-23,1.841
2022-05-24,1.861
2022-05-25,1.667
2022-05-26,1.691
2022-05-27,1.662
2022-05-28,1.646
2022-05-29,1.517
2022-05-30,1.623
2022-05-31,1.913
2022-06-01,1.778
2022-06-02,1.779
2022-06-03,1.517
2022-06-04,1.507
2022-06-05,1.894
2022-06-06,1.471
2022-06-07,1.465
2022-06-08,1.284
2022-06-09,1.837
2022-06-10,1.542
2022-06-11,1.286
2022-06-12,1.372
2022-06-13,1.519
2022-06-14,1.26
2022-06-15,1.397
2022-06-16,1.278
2022-06-17,1.218
2022-06-18,1.334
2022-06-19,1.255
2022-06-20,1.32
2022-06-21,1.346
2022-06-22,1.39
2022-06-23,1.55
